Species,Mass,RMR,TMRmin,Teu,Ttormin,Ceu,Ct,WR,pLean,pFat,pFly,S,Tlc,ttormax,mrPd,aPd,pMass.i,pMass,teu,SA.body,SA.wing,SA.plagio,rEWL.body,rEWL.wing
MYLU,8.2,2.62,0.358182,37,2,0.26,0.2,48,0.58,0.27,0.0001,0.1728,32,625,0.01539,0.16,0.027,0.027,2.2,39.2632638,19.6818882,8.660030806,0.1,0.353230681
EPFU,18.9,3.13,0.354564,37,2,0.26,0.2,90,0.5,0.2,0.0001,0.1728,32,792,0.01539,0.1,0.027,0.027,1,62.03245786,35.33281818,15.54644,0.1,0.110917104
MYVE,14.6,3.08,0.57285,37,2,0.26,0.2,50,0.57,0.21,0.0001,0.1728,32,792,0.01539,0.16,0.027,0.027,1.1,59.24388182,27.0356,11.895664,0.1,0.198266635
COTO,10,2.79,0.40401,37,2,0.26,0.2,91.2,0.59,0.13,0.0001,0.1728,32,792,0.01539,0.16,0.027,0.027,1.1,45.82607606,24.56328571,10.80784571,0.1,0.134392158
PESU,6.9,2.5,0.21708,37,2,0.26,0.2,48,0.55,0.29,0.0001,0.1728,32,792,0.01539,0.16,0.027,0.027,1.1,35.43375864,16.93304762,7.450540952,0.1,0.374265161
MYTH,9.68,2.78,0.299088,37,2,0.26,0.2,54.6,0.55,0.28,0.0001,0.1728,32,792,0.01539,0.16,0.027,0.027,1.1,45.42032508,22.71016254,9.992471518,0.1,0.290578665
MYYU,5.66,2.22,0.238788,37,2,0.26,0.2,27.56,0.5,0.24,0.0001,0.1728,32,506.9366,0.01539,0.16,0.027,0.027,1.39793,31.7597899,15.87989495,6.987153778,0.1,0.3278
MYCA,5,1.72,0.571427016,37,2,0.26,0.2,43.8,0.47,0.2,0.0001,0.1728,32,506.9366,0.01539,0.16,0.027,0.027,1.39793,29.24017738,14.62008869,6.432839024,0.1,0.3278
TABR,19,3.28,0.426924,37,2,0.26,0.2,77.4,0.5,0.22,0.0001,0.1728,32,792,0.01539,0.16,0.027,0.027,1.1,71.20367359,35.6018368,15.66480819,0.1,0.29470285
MYEV,7.6,2.6,0.302706,37,2,0.26,0.2,40.2,0.54,0.22,0.0001,0.1728,32,792,0.01539,0.16,0.027,0.027,1.1,38.62138559,19.3106928,8.49670483,0.1,0.328363259
MYCI,5.8,2.4,0.31959,37,2,0.26,0.2,54.68,0.53,0.28,0.0001,0.1728,32,792,0.01539,0.16,0.027,0.027,1.1,32.28137283,16.14068642,7.101902023,0.1,0.282167926
MYVO,8.6,2.69,0.51255,37,2,0.26,0.2,49.46,0.57,0.2,0.0001,0.1728,32,792,0.01539,0.16,0.027,0.027,1.1,41.9757986,20.9878993,9.234675692,0.1,0.268182634
LANO,12.69868,1.163415,0.177282,37,4,0.26,0.2,57.55,0.53,0.19,0.0001,0.1728,32,518.0738,0.01539,0.16,0.027,0.027,1.401362,54.43009006,27.21504503,11.97461981,0.1,0.3278
